UID          PID    PPID  C STIME TTY          TIME CMD
root          63       2  0 21:07 ?        00:00:00 [kworker/7:0H-events_highpri]
root          64       2  0 21:07 ?        00:00:00 [cpuhp/8]
root          65       2  0 21:07 ?        00:00:00 [idle_inject/8]
root          66       2  0 21:07 ?        00:00:00 [migration/8]
root          67       2  0 21:07 ?        00:00:00 [ksoftirqd/8]
root          69       2  0 21:07 ?        00:00:00 [kworker/8:0H-events_highpri]
root          70       2  0 21:07 ?        00:00:00 [cpuhp/9]
root          71       2  0 21:07 ?        00:00:00 [idle_inject/9]
root          72       2  0 21:07 ?        00:00:00 [migration/9]
root          73       2  0 21:07 ?        00:00:00 [ksoftirqd/9]
root          75       2  0 21:07 ?        00:00:00 [kworker/9:0H-events_highpri]
root          76       2  0 21:07 ?        00:00:00 [cpuhp/10]
root          77       2  0 21:07 ?        00:00:00 [idle_inject/10]
root          78       2  0 21:07 ?        00:00:00 [migration/10]
root          79       2  0 21:07 ?        00:00:00 [ksoftirqd/10]
root          81       2  0 21:07 ?        00:00:00 [kworker/10:0H-events_highpri]
root          82       2  0 21:07 ?        00:00:00 [cpuhp/11]
root          83       2  0 21:07 ?        00:00:00 [idle_inject/11]
root          84       2  0 21:07 ?        00:00:00 [migration/11]
root          85       2  0 21:07 ?        00:00:00 [ksoftirqd/11]
root          87       2  0 21:07 ?        00:00:00 [kworker/11:0H-events_highpri]
root          88       2  0 21:07 ?        00:00:00 [kdevtmpfs]
root          89       2  0 21:07 ?        00:00:00 [kworker/R-inet_frag_wq]
root          90       2  0 21:07 ?        00:00:00 [rcu_tasks_kthread]
root          91       2  0 21:07 ?        00:00:00 [rcu_tasks_rude_kthread]
root          92       2  0 21:07 ?        00:00:00 [rcu_tasks_trace_kthread]
root          93       2  0 21:07 ?        00:00:00 [kauditd]
root          94       2  0 21:07 ?        00:00:00 [oom_reaper]
root          96       2  0 21:07 ?        00:00:00 [kworker/R-writeback]
root          97       2  0 21:07 ?        00:00:00 [kcompactd0]
root          98       2  0 21:07 ?        00:00:00 [ksmd]
root          99       2  0 21:07 ?        00:00:00 [khugepaged]
root         100       2  0 21:07 ?        00:00:00 [kworker/R-kblockd]
root         101       2  0 21:07 ?        00:00:00 [kworker/R-blkcg_punt_bio]
root         102       2  0 21:07 ?        00:00:00 [kworker/R-kintegrityd]
root         103       2  0 21:07 ?        00:00:00 [irq/9-acpi]
root         106       2  0 21:07 ?        00:00:00 [kworker/R-tpm_dev_wq]
root         107       2  0 21:07 ?        00:00:00 [kworker/R-ata_sff]
root         108       2  0 21:07 ?        00:00:00 [kworker/R-md]
root         109       2  0 21:07 ?        00:00:00 [kworker/R-md_bitmap]
root         110       2  0 21:07 ?        00:00:00 [kworker/R-edac-poller]
root         111       2  0 21:07 ?        00:00:00 [kworker/R-devfreq_wq]
root         112       2  0 21:07 ?        00:00:00 [watchdogd]
root         113       2  0 21:07 ?        00:00:00 [kworker/R-quota_events_unbound]
root         115       2  0 21:07 ?        00:00:00 [kworker/3:1H-kblockd]
root         116       2  0 21:07 ?        00:00:00 [irq/25-AMD-Vi0-Evt]
root         117       2  0 21:07 ?        00:00:00 [irq/26-AMD-Vi0-PPR]
root         118       2  0 21:07 ?        00:00:00 [irq/27-AMD-Vi0-GA]
root         119       2  0 21:07 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root         121       2  0 21:07 ?        00:00:00 [kswapd0]
root         122       2  0 21:07 ?        00:00:00 [kworker/R-cryptd]
root         126       2  0 21:07 ?        00:00:00 [kworker/R-kthrotld]
root         129       2  0 21:07 ?        00:00:00 [kworker/R-acpi_thermal_pm]
root         130       2  0 21:07 ?        00:00:00 [scsi_eh_0]
root         131       2  0 21:07 ?        00:00:00 [kworker/R-scsi_tmf_0]
root         132       2  0 21:07 ?        00:00:00 [scsi_eh_1]
root         133       2  0 21:07 ?        00:00:00 [kworker/R-scsi_tmf_1]
root         134       2  0 21:07 ?        00:00:00 [scsi_eh_2]
root         135       2  0 21:07 ?        00:00:00 [kworker/R-scsi_tmf_2]
root         136       2  0 21:07 ?        00:00:00 [scsi_eh_3]
root         137       2  0 21:07 ?        00:00:00 [kworker/R-scsi_tmf_3]
root         138       2  0 21:07 ?        00:00:00 [scsi_eh_4]
root         139       2  0 21:07 ?        00:00:00 [kworker/R-scsi_tmf_4]
root         140       2  0 21:07 ?        00:00:00 [scsi_eh_5]
root         141       2  0 21:07 ?        00:00:00 [kworker/R-scsi_tmf_5]
root         142       2  0 21:07 ?        00:00:00 [scsi_eh_6]
root         143       2  0 21:07 ?        00:00:00 [kworker/R-scsi_tmf_6]
root         144       2  0 21:07 ?        00:00:00 [scsi_eh_7]
root         145       2  0 21:07 ?        00:00:00 [kworker/R-scsi_tmf_7]
root         147       2  0 21:07 ?        00:00:04 [kworker/u48:4-gfx]
root         152       2  0 21:07 ?        00:00:00 [scsi_eh_8]
root         153       2  0 21:07 ?        00:00:00 [kworker/R-scsi_tmf_8]
root         156       2  0 21:07 ?        00:00:03 [kworker/u48:10-btrfs-endio-write]
root         157       2  0 21:07 ?        00:00:00 [kworker/R-dm_bufio_cache]
root         158       2  0 21:07 ?        00:00:00 [kworker/R-mld]
root         159       2  0 21:07 ?        00:00:00 [kworker/R-ipv6_addrconf]
root         161       2  0 21:07 ?        00:00:00 [kworker/R-kstrp]
root         163       2  0 21:07 ?        00:00:00 [kworker/6:1-mm_percpu_wq]
root         167       2  0 21:07 ?        00:00:00 [kworker/11:1-mm_percpu_wq]
root         185       2  0 21:07 ?        00:00:00 [kworker/1:5-mm_percpu_wq]
root         249       2  0 21:07 ?        00:00:00 [kworker/9:1-mm_percpu_wq]
root         250       2  0 21:07 ?        00:00:00 [kworker/2:1H-kblockd]
root         251       2  0 21:07 ?        00:00:00 [kworker/8:1-events]
root         253       2  0 21:07 ?        00:00:00 [kworker/7:1H-kblockd]
root         255       2  0 21:07 ?        00:00:00 [kworker/10:1H-kblockd]
root         291       2  0 21:07 ?        00:00:00 [kworker/0:1H-kblockd]
root         293       2  0 21:07 ?        00:00:00 [kworker/8:1H-kblockd]
root         297       2  0 21:07 ?        00:00:00 [kworker/5:1H-kblockd]
root         299       2  0 21:07 ?        00:00:00 [kworker/1:1H-kblockd]
root         302       2  0 21:07 ?        00:00:00 [kworker/4:1H-kblockd]
root         306       2  0 21:07 ?        00:00:00 [kworker/6:1H-kblockd]
root         317       2  0 21:07 ?        00:00:00 [kworker/11:1H-kblockd]
root         402       2  0 21:07 ?        00:00:00 [kworker/9:1H-kblockd]
root         421       2  0 21:07 ?        00:00:00 [kworker/2:2-mm_percpu_wq]
